Route,LineType,DayofWeek,Boardings,Year,FID2
13,Community,Weekday,3023,2006,1
14,Community,Weekday,0,2006,2
16,Community,Weekday,1990,2006,3
17,Community,Weekday,1488,2006,4
18,Community,Weekday,0,2006,5
19,Community,Weekday,1898,2006,6
32,Community,Weekday,10393,2006,7
34,Community,Weekday,3132,2006,8
37,Community,Weekday,2559,2006,9
39,Community,Weekday,5216,2006,10
42,Community,Weekday,0,2006,11
45,Community,Weekday,413,2006,12
48,Community,Weekday,2577,2006,13
49,Community,Weekday,3085,2006,14
65,Community,Weekday,9108,2006,15
88,Community,Weekday,5253,2006,16
13,Community,Saturday,928,2006,17
14,Community,Saturday,0,2006,18
16,Community,Saturday,0,2006,19
17,Community,Saturday,861,2006,20
18,Community,Saturday,0,2006,21
19,Community,Saturday,809,2006,22
32,Community,Saturday,3188,2006,23
34,Community,Saturday,1402,2006,24
37,Community,Saturday,948,2006,25
39,Community,Saturday,3256,2006,26
42,Community,Saturday,0,2006,27
45,Community,Saturday,273,2006,28
48,Community,Saturday,1764,2006,29
49,Community,Saturday,1824,2006,30
65,Community,Saturday,3322,2006,31
88,Community,Saturday,1075,2006,32
13,Community,Sunday,942,2006,33
14,Community,Sunday,0,2006,34
16,Community,Sunday,0,2006,35
17,Community,Sunday,698,2006,36
18,Community,Sunday,0,2006,37
19,Community,Sunday,716,2006,38
32,Community,Sunday,0,2006,39
34,Community,Sunday,0,2006,40
37,Community,Sunday,0,2006,41
39,Community,Sunday,3132,2006,42
42,Community,Sunday,0,2006,43
45,Community,Sunday,286,2006,44
48,Community,Sunday,1251,2006,45
49,Community,Sunday,1473,2006,46
65,Community,Sunday,2363,2006,47
88,Community,Sunday,0,2006,48
22,Core,Weekday,189829,2006,49
23,Core,Weekday,68323,2006,50
323,Core,Sunday,0,2006,51
522,Core,Sunday,0,2006,52
101,Express,Weekday,1064,2006,53
102,Express,Weekday,1349,2006,54
103,Express,Weekday,1208,2006,55
104,Express,Weekday,881,2006,56
120,Express,Weekday,927,2006,57
121,Express,Weekday,2034,2006,58
122,Express,Weekday,385,2006,59
140,Express,Weekday,1587,2006,60
168,Express,Weekday,0,2006,61
180,Express,Weekday,20003,2006,62
181,Express,Weekday,0,2006,63
182,Express,Weekday,983,2006,64
185,Express,Weekday,0,2006,65
101,Express,Saturday,0,2006,66
102,Express,Saturday,0,2006,67
103,Express,Saturday,0,2006,68
104,Express,Saturday,0,2006,69
120,Express,Saturday,0,2006,70
121,Express,Saturday,0,2006,71
122,Express,Saturday,0,2006,72
140,Express,Saturday,0,2006,73
168,Express,Saturday,0,2006,74
180,Express,Saturday,13576,2006,75
181,Express,Saturday,0,2006,76
182,Express,Saturday,0,2006,77
101,Express,Sunday,0,2006,78
102,Express,Sunday,0,2006,79
103,Express,Sunday,0,2006,80
104,Express,Sunday,0,2006,81
120,Express,Sunday,0,2006,82
121,Express,Sunday,0,2006,83
122,Express,Sunday,0,2006,84
140,Express,Sunday,0,2006,85
168,Express,Sunday,0,2006,86
180,Express,Sunday,10629,2006,87
181,Express,Sunday,0,2006,88
182,Express,Sunday,0,2006,89
304,Limited,Weekday,2619,2006,90
321,Limited,Weekday,370,2006,91
328,Limited,Weekday,318,2006,92
330,Limited,Weekday,1323,2006,93
304,Limited,Saturday,0,2006,94
321,Limited,Saturday,0,2006,95
328,Limited,Saturday,0,2006,96
330,Limited,Saturday,0,2006,97
304,Limited,Sunday,0,2006,98
321,Limited,Sunday,0,2006,99
328,Limited,Sunday,0,2006,100
330,Limited,Sunday,0,2006,101
10,Local,Weekday,16149,2006,102
27,Local,Weekday,13634,2006,103
31,Local,Weekday,16543,2006,104
35,Local,Weekday,17014,2006,105
40,Local,Weekday,6091,2006,106
46,Local,Weekday,8947,2006,107
47,Local,Weekday,12115,2006,108
52,Local,Weekday,3746,2006,109
53,Local,Weekday,7819,2006,110
54,Local,Weekday,13538,2006,111
57,Local,Weekday,14499,2006,112
58,Local,Weekday,16018,2006,113
63,Local,Weekday,10956,2006,114
81,Local,Weekday,38761,2006,115
82,Local,Weekday,18164,2006,116
89,Local,Weekday,0,2006,117
201,Local,Weekday,0,2006,118
10,Local,Saturday,11472,2006,119
27,Local,Saturday,7091,2006,120
31,Local,Saturday,8090,2006,121
35,Local,Saturday,11046,2006,122
